month,scenario,customers,new_customers,churned_customers,seats_per_customer,credits_per_customer,seat_revenue,credit_revenue,total_revenue,grr_mrr,nrr_mrr,cogs,ai_cogs,gross_profit,gross_margin_pct,opex_rnd,opex_s_and_m,opex_g_and_a,opex_total,ebitda,ebitda_margin_pct,mrr,arr
2026-01,downside,39.1875,41.25,2.0625,4.034,2527.625,15650.155125,1188.61565625,16838.77078125,,,3853.1065289062503,148.57695703125,12985.664252343751,0.7711764962560872,180000.0,220000.0,90000.0,490000.0,-477014.33574765624,-28.32833476650282,16838.77078125,202065.249375
2026-02,downside,76.415625,41.25,4.021875,4.050704897435897,2541.2320479166665,30644.17749638437,2330.2780225389847,32974.45551892336,0.9418253538826732,0.958245999502557,7545.664966980512,291.2847528173731,25428.790551942846,0.7711663514003981,180000.0,220000.0,90000.0,490000.0,-464571.20944805717,-14.088821244719245,32974.45551892336,395693.4662270803
2026-03,downside,111.78234375,41.25,5.88328125,4.06720919701709,2554.698231880977,45009.575479848456,3426.8418712036387,48436.41735105209,0.9378594111964198,0.9582461961098601,11084.367051131914,428.35523390045483,37352.05029992018,0.7711563394378269,180000.0,220000.0,90000.0,490000.0,-452647.9497000798,-9.345198808149418,48436.41735105209,581237.008212625
2026-04,downside,145.3807265625,41.25,7.651617187499999,4.083510189753079,2568.0207711430494,58772.70415285581,4480.088706436416,63252.792859292225,0.9339731753434976,0.9582463901416949,14475.625517348843,560.0110883045521,48777.16734194338,0.7711464606859286,180000.0,220000.0,90000.0,490000.0,-441222.83265805664,-6.975547050381954,63252.792859292225,759033.5143115066
2026-05,downside,178.1391498046875,41.25,8.4915767578125,4.10318481007986,2584.134137078408,72362.8475023543,5524.025497925009,77886.8730002793,0.9358227540794033,0.9651447700472716,17825.61524730207,690.503187240626,60061.25775297723,0.77113453704531,180000.0,220000.0,90000.0,490000.0,-429938.74224702275,-5.52004112741156,77886.8730002793,934642.4760033516
2026-06,downside,210.0786124658203,41.25,9.310537338867187,4.124582954190205,2601.698503738468,85782.17973762879,6558.734540637337,92340.91427826612,0.9346839988065562,0.9693821383321599,21134.842958798217,819.8418175796672,71206.07131946791,0.7711215756960225,180000.0,220000.0,90000.0,490000.0,-418793.9286805321,-4.535301950969547,92340.91427826612,1108090.9713391934
2026-07,downside,241.2195885604248,41.25,10.109023905395508,4.146975796336518,2620.1221355223793,99032.84774087116,7584.29740210524,106617.1451429764,0.9320426421963407,0.9722491385690898,24403.809106717963,948.037175263155,82213.33603625844,0.7711080232546856,180000.0,220000.0,90000.0,490000.0,-407786.66396374156,-3.824775681405546,106617.1451429764,1279405.7417157167
2026-08,downside,271.58204025266417,41.25,10.88754830776062,4.169990989315813,2639.1027553628837,112116.97141064778,8600.794928854555,120717.76633950233,0.9285567908883063,0.9743179243727439,27633.00796079733,1075.0993661068194,93084.758378705,0.7710941081937911,180000.0,220000.0,90000.0,490000.0,-396915.241621295,-3.2879604523581456,120717.76633950233,1448613.196074028
2026-09,downside,301.1854306525976,41.25,11.646609600066604,4.193417992744187,2658.469466235311,125036.64400104989,9608.30725277836,134644.95125382824,0.9245624885413756,0.9758810492008638,30822.92768243951,1201.038406597295,103822.02357138874,0.77107995958695,180000.0,220000.0,90000.0,490000.0,-386177.97642861126,-2.86812073406749,134644.95125382824,1615739.415045939
2026-10,downside,330.0487362925326,41.25,12.386694360064938,4.2171284133267655,2678.1180653808647,137793.9324565814,10606.91379745388,148400.84625403528,0.9202490364977273,0.9771036659575061,33974.0504005695,1325.8642246817349,114426.79585346578,0.7710656559032548,180000.0,220000.0,90000.0,490000.0,-375573.2041465342,-2.5308023075799793,148400.84625403528,1780810.1550484234
