month,scenario,customers,new_customers,churned_customers,seats_per_customer,credits_per_customer,seat_revenue,credit_revenue,total_revenue,grr_mrr,nrr_mrr,cogs,ai_cogs,gross_profit,gross_margin_pct,opex_rnd,opex_s_and_m,opex_g_and_a,opex_total,ebitda,ebitda_margin_pct,mrr,arr
2026-01,upside,54.3375,56.25,1.9125,4.048,2539.0,21775.8618,1655.5549500000002,23431.41675,,,5361.85605375,206.94436875000002,18069.560696250002,0.7711680812578268,180000.0,220000.0,90000.0,490000.0,-471930.43930375,-20.140926361345606,23431.41675,281177.001
2026-02,upside,106.827525,56.25,3.759975,4.071867963377416,2558.4617062054936,43063.7700887856,3279.7695825745204,46343.539671360115,0.9543063865312369,0.9778377110449422,10605.54992552104,409.97119782181505,35737.98974583908,0.7711536494465232,180000.0,220000.0,90000.0,490000.0,-454262.0102541609,-9.802056844934757,46343.539671360115,556122.4760563214
2026-03,upside,157.53288915,56.25,5.544635850000001,4.095643636817844,2577.8940558397417,63874.65892863608,4873.2371824685515,68747.89611110464,0.9485946928017591,0.9778381125494781,15733.69179225159,609.1546478085689,53014.20431885305,0.7711392976037535,180000.0,220000.0,90000.0,490000.0,-436985.79568114696,-6.356351545288409,68747.89611110464,824974.7533332556
2026-04,upside,206.51427091889997,56.25,7.2686182311,4.119323868428359,2597.29419451648,84219.21737136321,6436.539803309548,90655.75717467276,0.9429714664530664,0.9778385118292253,20748.8340538417,804.5674754136937,69906.92312083107,0.7711250261374634,180000.0,220000.0,90000.0,490000.0,-420093.0768791689,-4.6339371041791235,90655.75717467276,1087869.086096073
2026-05,upside,254.66296919772867,56.25,8.1013017211713,4.148001479898684,2620.857973047354,104577.89493764959,8009.225679141358,112587.12061679094,0.9413483769575108,0.9834533034124733,25770.319745586676,1001.1532098926698,86816.80087120426,0.7711077465663212,180000.0,220000.0,90000.0,490000.0,-403183.19912879576,-3.5810774529095304,112587.12061679094,1351045.4474014912
2026-06,upside,301.9931396058173,56.25,8.919829591911387,4.179327712150774,2646.6801924309693,124950.70142616694,9591.351130137085,134542.05255630403,0.9370636880498032,0.9868858462460165,30798.17045365402,1198.9188912671357,103743.88210265001,0.7710888910308143,180000.0,220000.0,90000.0,490000.0,-386256.11789735,-2.8708950886244806,134542.05255630403,1614504.6306756483
2026-07,upside,348.5186971169684,56.25,9.724442488848894,4.212276267918815,2673.9294302388594,145337.64664238738,11182.972814514778,156520.61945690215,0.9314648289566069,0.9892015186196609,35832.40788233282,1397.8716018143473,120688.21157456933,0.7710690897680784,180000.0,220000.0,90000.0,490000.0,-369311.78842543066,-2.359508860282274,156520.61945690215,1878247.4334828258
2026-08,upside,394.2533201504299,56.25,10.515376966538462,4.246327438044281,2702.1855993689055,165738.74039858783,12784.147730566445,178522.88812915428,0.9251441751669969,0.9908692664090728,40873.053854734746,1598.0184663208056,137649.83427441953,0.7710486633783075,180000.0,220000.0,90000.0,490000.0,-352350.1657255805,-1.9736974312821391,178522.88812915428,2142274.6575498516
2026-09,upside,439.2104545923226,56.25,11.292865558107309,4.281189892146701,2731.2140585050292,186153.9925138551,14394.933218699236,200548.92573255434,0.9184025666093515,0.992127736889495,45920.13031349936,1799.3666523374045,154628.79541905498,0.7710277921172364,180000.0,220000.0,90000.0,490000.0,-335371.204580945,-1.6722662729601723,200548.92573255434,2406587.108790652
2026-10,upside,483.4033177487031,56.25,12.057136843619483,4.3166876662212665,2760.873852720515,206583.41281409038,16015.386963488898,222598.79977757926,0.9114087133266413,0.9931111936903743,50973.65932150355,2001.9233704361118,171625.14045607572,0.771006585064985,180000.0,220000.0,90000.0,490000.0,-318374.8595439243,-1.4302631454529156,222598.79977757926,2671185.597330951
2026-11,upside,526.8449022314252,56.25,12.808415517277952,4.352708212481251,2791.075533015602,227027.011132014,17645.566995745536,244672.57812775954,0.9042643246581484,0.9939009626234451,56033.66306257529,2205.6958744681915,188638.91506518424,0.7709851120573207,180000.0,220000.0,90000.0,490000.0,-301361.08493481576,-1.2316912963472983,244672.57812775954,2936070.9375331146
2026-12,upside,569.5479797779409,56.25,13.546922453484227,4.389176199730918,2821.759883763576,247484.79730717026,19285.531694591784,266770.32900176203,0.8970341754881831,0.9945491812519296,61100.16384221162,2410.6914618239725,205670.1651595504,0.7709634198419119,180000.0,220000.0,90000.0,490000.0,-284329.8348404496,-1.065822559444276,266770.32900176203,3201243.9480211446
2027-01,upside,611.5251050061659,56.25,14.272874771774994,4.426039309319873,2852.8863898594377,267956.78118593205,20935.33978955345,288892.1209754855,0.889761318737433,0.9950908154547135,66173.18408830099,2616.9174736941814,222718.9368871845,0.7709415408601046,180000.0,220000.0,90000.0,490000.0,-267281.0631128155,-0.9251933289502768,288892.1209754855,3466705.4517058255
2027-02,upside,652.7886191055111,56.25,14.98648590065482,4.463260073387227,2884.42660985008,288442.9726215058,22595.050362662696,311038.0229841685,0.882475354046022,0.9955501910644835,71252.7463518499,2824.3812953328365,239785.2766323186,0.7709194983036637,180000.0,220000.0,90000.0,490000.0,-250214.7233676814,-0.8044505972841046,311038.0229841685,3732456.275810022
2027-03,upside,693.3506534651674,56.25,15.687965640343688,4.50081095519616,2916.360181449523,308943.38147393573,24264.722850573853,333208.10432450956,0.8751971889623829,0.9959447549288111,76338.87330771383,3033.090356321731,256869.23101679573,0.7708973091681833,180000.0,220000.0,90000.0,490000.0,-233130.76898320427,-0.6996551583155957,333208.10432450956,3998497.2518941145
2027-04,upside,733.2231332407096,56.25,16.377520224457847,4.53867126236179,2948.672315254438,329458.01761010935,25944.417046691957,355402.4346568013,0.8679419137983715,0.9962873459509152,81431.58775533279,3243.0521308364946,273970.84690146847,0.7708749861717514,180000.0,220000.0,90000.0,490000.0,-216029.15309853153,-0.6078437625424337,355402.4346568013,4264829.215881616
